time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,x_real,"x_est_0, x_est_1, x_est_2",u
3.036,0.0,0,0.0,0,0,0,0,,,
3.047,0.0,0,0.0,0,0,24,0,,,
3.059,0.0,0,0.0,0,0,24,0,,,
3.073,11.25,0,0.0,0,309,24,384,,,
3.087,48.86,0,0.0,0,648,24,343,,,
3.098,97.03,0,0.0,0,888,-24,318,,,
3.11,204.25,0,0.0,0,1227,24,273,,,
3.124,271.93,0,0.0,0,783,-24,521,,,
3.144,324.84,0,0.0,0,1152,24,278,,,
3.157,375.99,0,0.0,0,398,-24,504,,,
3.174,440.85,0,0.0,0,492,24,363,,,
3.19,455.62,0,0.0,0,291,-24,503,,,
3.205,518.2,0,0.0,0,450,24,366,,,
3.217,466.34000000000003,0,0.0,0,-1222,-24,278,,,
3.236,481.28,0,0.0,0,988,24,288,,,
3.253,468.45,0,0.0,0,-49,-24,419,,,
3.265,529.1,0,0.0,0,717,24,336,,,
3.277,548.78,0,0.0,0,-51,-24,417,,,
3.295,551.25,0,0.0,0,-97,24,437,,,
3.314,513.63,0,0.0,0,-491,-24,386,,,
3.327,541.05,0,0.0,0,61,24,414,,,
3.341,456.5,0,0.0,0,-1502,-24,239,,,
3.352,469.68,0,0.0,0,812,24,328,,,
3.371,433.12,0,0.0,0,-736,-24,335,,,
3.383,449.47,0,0.0,0,1248,24,276,,,
3.394,419.23,0,0.0,0,-293,-24,387,,,
3.401,440.33,0,0.0,0,165,24,404,,,
3.413,393.04,0,0.0,0,-1273,-24,270,,,
3.43,400.25,0,0.0,0,997,24,298,,,
3.445,372.3,0,0.0,0,-935,-24,307,,,
3.457,400.78,0,0.0,0,227,24,393,,,
3.474,345.05,0,0.0,0,-794,-24,327,,,
3.481,319.21,0,0.0,0,455,24,372,,,
3.486,328.53,0,0.0,0,-57,-24,422,,,
3.49,335.56,0,0.0,0,366,24,379,,,
3.494,336.26,0,0.0,0,-215,-24,435,,,
3.512,336.44,0,0.0,0,138,24,435,,,
3.527,336.79,0,0.0,0,-38,-24,453,,,
3.54,382.67,0,0.0,0,598,24,348,,,
3.552,404.12,0,0.0,0,260,-24,454,,,
3.567,458.78,0,0.0,0,631,24,344,,,
3.577,471.62,0,0.0,0,247,-24,452,,,
3.587,537.1800000000001,0,0.0,0,573,24,358,,,
3.603,545.8,0,0.0,0,237,-24,453,,,
3.615,612.0699999999999,0,0.0,0,864,24,311,,,
3.621,590.62,0,0.0,0,-605,-24,352,,,
3.625,575.5,0,0.0,0,633,24,347,,,
3.633,589.04,0,0.0,0,342,-24,460,,,
3.637,602.05,0,0.0,0,540,24,344,,,
3.654,612.0699999999999,0,0.0,0,95,-24,431,,,
3.669,621.9100000000001,0,0.0,0,544,24,358,,,
3.678,615.41,0,0.0,0,-336,-24,392,,,
3.692,612.0699999999999,0,0.0,0,-32,24,417,,,
3.709,588.51,0,0.0,0,-309,-24,384,,,
3.725,593.08,0,0.0,0,-32,24,456,,,
3.732,553.1800000000001,0,0.0,0,-369,-24,385,,,
3.744,552.3,0,0.0,0,-145,24,438,,,
3.756,521.89,0,0.0,0,-708,-24,334,,,
3.764,537.71,0,0.0,0,134,24,408,,,
3.768,499.21000000000004,0,0.0,0,-512,-24,358,,,
3.776,506.07,0,0.0,0,845,24,320,,,
3.78,518.73,0,0.0,0,-78,-24,402,,,
3.793,513.45,0,0.0,0,52,24,415,,,
3.805,506.41999999999996,0,0.0,0,-483,-24,364,,,
3.816,519.6,0,0.0,0,282,24,385,,,
3.825,519.4300000000001,0,0.0,0,-40,-24,419,,,
3.837,538.59,0,0.0,0,231,24,391,,,
3.846,528.92,0,0.0,0,-33,-24,409,,,
3.858,547.38,0,0.0,0,190,24,396,,,
3.876,527.87,0,0.0,0,-408,-24,372,,,
3.889,560.74,0,0.0,0,220,24,392,,,
3.902,529.8,0,0.0,0,-70,-24,415,,,
3.908,567.77,0,0.0,0,492,24,358,,,
3.92,539.8199999999999,0,0.0,0,-1373,-24,254,,,
3.934,538.76,0,0.0,0,892,24,313,,,
3.951,527.87,0,0.0,0,-695,-24,336,,,
3.968,549.14,0,0.0,0,175,24,397,,,
3.982,530.33,0,0.0,0,-84,-24,406,,,
4.002,542.28,0,0.0,0,19,24,409,,,
4.014,521.36,0,0.0,0,-116,-24,408,,,
4.026,553.35,0,0.0,0,171,24,396,,,
4.035,549.14,0,0.0,0,120,-24,434,,,
4.051,586.75,0,0.0,0,285,24,383,,,
4.065,570.05,0,0.0,0,-113,-24,417,,,
4.073,627.89,0,0.0,0,462,24,363,,,
4.08,591.3199999999999,0,0.0,0,-635,-24,343,,,
4.089,581.83,0,0.0,0,-45,24,415,,,
4.099,558.98,0,0.0,0,-780,-24,310,,,
4.11,571.81,0,0.0,0,1090,24,282,,,
