time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,x_real,"x_est_0, x_est_1, x_est_2",u
3.042,0.0,0,0.0,0,0,0,0,,,
3.053,0.0,0,0.0,0,0,24,0,,,
3.067,0.0,0,0.0,0,0,24,0,,,
3.093,14.23,0,0.0,0,239,24,391,,,
3.109,71.54,0,0.0,0,740,24,333,,,
3.12,225.7,0,0.0,0,1259,-24,270,,,
3.133,338.2,0,0.0,0,1505,24,239,,,
3.143,400.07,0,0.0,0,1037,-24,548,,,
3.157,521.19,0,0.0,0,1260,24,263,,,
3.171,585.17,0,0.0,0,878,-24,530,,,
3.186,700.31,0,0.0,0,1195,24,273,,,
3.204,712.96,0,0.0,0,-25,-24,415,,,
3.217,773.78,0,0.0,0,1267,24,256,,,
3.231,835.48,0,0.0,0,575,-24,495,,,
3.247,919.33,0,0.0,0,811,24,324,,,
3.26,954.66,0,0.0,0,508,-24,486,,,
3.275,1043.78,0,0.0,0,662,24,340,,,
3.284,1077.18,0,0.0,0,454,-24,481,,,
3.301,1135.19,0,0.0,0,681,24,337,,,
3.313,1136.77,0,0.0,0,174,-24,446,,,
3.322,1207.61,0,0.0,0,869,24,317,,,
3.334,1213.41,0,0.0,0,-626,-24,352,,,
3.349,1213.24,0,0.0,0,864,24,328,,,
3.358,1231.69,0,0.0,0,41,-24,424,,,
3.375,1247.51,0,0.0,0,315,24,387,,,
3.385,1246.28,0,0.0,0,-66,-24,423,,,
3.397,1292.69,0,0.0,0,546,24,356,,,
3.416,1303.76,0,0.0,0,272,-24,457,,,
3.428,1343.84,0,0.0,0,429,24,374,,,
3.437,1347.3600000000001,0,0.0,0,115,-24,435,,,
3.444,1388.32,0,0.0,0,275,24,390,,,
3.448,1380.76,0,0.0,0,-269,-24,395,,,
3.466,1391.66,0,0.0,0,862,24,320,,,
3.482,1406.77,0,0.0,0,239,-24,449,,,
3.492,1471.64,0,0.0,0,757,24,331,,,
3.504,1509.08,0,0.0,0,370,-24,467,,,
3.519,1547.4,0,0.0,0,612,24,346,,,
3.532,1572.3600000000001,0,0.0,0,206,-24,447,,,
3.546,1619.12,0,0.0,0,573,24,352,,,
3.555,1637.4,0,0.0,0,170,-24,443,,,
3.564,1668.33,0,0.0,0,413,24,370,,,
3.577,1665.17,0,0.0,0,-142,-24,408,,,
3.583,1707.01,0,0.0,0,425,24,369,,,
3.587,1705.42,0,0.0,0,60,-24,434,,,
3.591,1721.25,0,0.0,0,938,24,307,,,
3.605,1734.78,0,0.0,0,130,-24,430,,,
3.615,1738.47,0,0.0,0,236,24,390,,,
3.623,1737.59,0,0.0,0,-150,-24,403,,,
3.636,1741.99,0,0.0,0,81,24,453,,,
3.646,1731.26,0,0.0,0,-137,-24,403,,,
3.658,1740.05,0,0.0,0,149,24,401,,,
3.672,1728.98,0,0.0,0,-107,-24,405,,,
3.681,1739.53,0,0.0,0,231,24,394,,,
3.698,1713.51,0,0.0,0,-333,-24,383,,,
3.717,1717.55,0,0.0,0,-38,24,423,,,
3.727,1687.1399999999999,0,0.0,0,-249,-24,392,,,
3.741,1700.68,0,0.0,0,184,24,397,,,
3.751,1691.01,0,0.0,0,-178,-24,402,,,
3.762,1728.1,0,0.0,0,321,24,380,,,
3.774,1721.25,0,0.0,0,52,-24,435,,,
3.786,1764.66,0,0.0,0,325,24,380,,,
3.799,1743.57,0,0.0,0,-93,-24,419,,,
3.808,1791.91,0,0.0,0,816,24,319,,,
3.812,1765.72,0,0.0,0,-993,-24,299,,,
3.817,1768.35,0,0.0,0,971,24,307,,,
3.828,1788.04,0,0.0,0,328,-24,459,,,
3.84,1790.15,0,0.0,0,96,24,406,,,
3.851,1771.52,0,0.0,0,-265,-24,389,,,
3.859,1776.79,0,0.0,0,135,24,411,,,
3.868,1749.72,0,0.0,0,-287,-24,390,,,
3.879,1757.28,0,0.0,0,217,24,400,,,
3.892,1721.42,0,0.0,0,-326,-24,381,,,
3.909,1729.16,0,0.0,0,-73,24,426,,,
3.919,1691.19,0,0.0,0,-524,-24,356,,,
3.93,1715.44,0,0.0,0,48,24,415,,,
3.946,1673.08,0,0.0,0,-439,-24,369,,,
3.963,1723.35,0,0.0,0,841,24,314,,,
3.976,1674.84,0,0.0,0,-1027,-24,293,,,
3.987,1706.48,0,0.0,0,581,24,337,,,
3.996,1659.37,0,0.0,0,-771,-24,329,,,
4.007,1667.1,0,0.0,0,1101,24,294,,,
4.021,1660.95,0,0.0,0,-829,-24,342,,,
4.033,1665.87,0,0.0,0,138,24,411,,,
4.043,1634.76,0,0.0,0,-272,-24,389,,,
4.05,1643.55,0,0.0,0,-60,24,427,,,
4.054,1624.21,0,0.0,0,-739,-24,331,,,
4.069,1627.38,0,0.0,0,511,24,357,,,
4.083,1628.6100000000001,0,0.0,0,-311,-24,385,,,
4.096,1644.08,0,0.0,0,398,24,371,,,
