time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.428,0.0,250,0.0,0,0,0,0
2.445,0.0,250,0.0,0,0,5.048848235607148,0
2.461,0.0,250,0.0,0,0,5.04929826259613,0
2.475,5.97,250,0.0,0,125,5.049623054265976,118
2.505,20.03,250,0.0,0,224,4.2432355033955576,105
2.531,85.25,250,0.0,0,436,3.418087550396681,80
2.55,141.67,250,0.0,0,504,0.948181866700411,48
2.563,227.81,250,0.0,0,549,-0.5540649481155867,19
2.579,268.76,250,0.0,0,530,-2.524338222054958,22
2.605,315.0,250,0.0,0,450,-3.23887192588377,67
2.615,358.59,250,0.0,0,294,-3.723834347467899,97
2.633,383.55,250,0.0,0,156,-3.7377866783056257,100
2.646,391.64,250,0.0,0,54,-3.4781733131620887,101
2.66,391.28,250,0.0,0,-14,-3.079143272219896,90
2.684,385.31,250,0.0,0,-109,-2.6982117251846787,74
2.701,362.46,250,0.0,0,-207,-2.0565959620490073,52
2.718,338.2,250,0.0,0,-253,-1.0607646130099295,35
2.732,312.89,250,0.0,0,-272,-0.3227145358338354,15
2.753,283.53,250,0.0,0,-272,0.2878973225874903,1
2.773,255.41,250,0.0,0,-257,0.8750201212410933,10
2.785,226.93,250,0.0,0,-208,1.3549103627934458,28
2.798,213.39,250,0.0,0,-170,1.65504017615962,40
2.816,201.62,250,0.0,0,-122,1.7168840883913044,45
2.838,191.77,250,0.0,0,-57,1.6883808482990263,44
2.851,189.49,250,0.0,0,-12,1.5280031321542262,39
2.866,192.65,250,0.0,0,46,1.3261878890650272,32
2.885,199.16,250,0.0,0,78,0.9440799486963749,25
2.894,208.65,250,0.0,0,102,0.6379610322554112,17
2.907,215.33,250,0.0,0,109,0.3161983066673279,8
2.922,220.78,250,0.0,0,111,0.14415376059460627,1
2.947,232.38,250,0.0,0,107,0.024200584445238225,2
2.973,245.74,250,0.0,0,99,-0.18575528220820406,5
2.99,259.98,250,0.0,0,85,-0.4089455195524694,6
3.001,268.59,250,0.0,0,68,-0.6167615006716255,9
3.022,273.51,250,0.0,0,50,-0.6954912119336124,15
3.029,277.73,250,0.0,0,22,-0.6949288386597632,16
3.037,278.26,250,0.0,0,13,-0.6253482542030815,17
3.055,278.43,250,0.0,0,12,-0.5864708827989099,16
3.071,277.73,250,0.0,0,-7,-0.584430561136961,14
3.092,275.09,250,0.0,0,-27,-0.4659749292268757,10
3.112,270.35,250,0.0,0,-40,-0.3032276060333247,9
3.125,265.6,250,0.0,0,-47,-0.13696423968577434,5
3.141,261.38,250,0.0,0,-48,-0.0034829587008957386,1
3.156,257.69,250,0.0,0,-45,0.0863965617682935,2
3.164,252.77,250,0.0,0,-39,0.1436865609092713,3
3.172,251.36,250,0.0,0,-36,0.20908434328675252,3
3.181,249.6,250,0.0,0,-32,0.2207832558195588,3
3.201,248.2,250,0.0,0,-29,0.2339835758726598,4
3.217,246.09,250,0.0,0,-20,0.24548753502774262,5
3.231,244.86,250,0.0,0,-12,0.23819339950942986,4
3.249,244.33,250,0.0,0,-5,0.21880213675355883,3
3.265,244.68,250,0.0,0,3,0.19091121066451047,3
3.276,245.03,250,0.0,0,3,0.13991866484713542,3
3.292,245.56,250,0.0,0,5,0.132926113263607,0
3.311,246.09,250,0.0,0,5,0.11133366198682781,1
3.32,246.26,250,0.0,0,5,0.10073952796006197,0
3.335,246.44,250,0.0,0,3,0.097342529284239,0
3.35,246.44,250,0.0,0,2,0.10474821697783476,0
3.366,246.44,250,0.0,0,1,0.11025462264609343,0
3.39,246.44,250,0.0,0,1,0.11576103332209592,0
3.409,246.44,250,0.0,0,1,0.11576921886134153,0
3.424,246.44,250,0.0,0,0,0.11577455923819546,0
3.442,246.44,250,0.0,0,0,0.12127989919066434,0
3.455,246.44,250,0.0,0,0,0.12128737600684172,0
3.463,246.44,250,0.0,0,0,0.12129093710684782,0
3.478,246.44,250,0.0,0,0,0.1212937920300961,0
3.493,246.44,250,0.0,0,0,0.1213005479857922,0
3.509,246.44,250,0.0,0,0,0.12130517802691465,0
3.535,246.44,250,0.0,0,0,0.12131122907900815,0
3.554,246.44,250,0.0,0,0,0.12132119822382934,0
3.569,246.44,250,0.0,0,0,0.12132653537535673,0
3.594,246.44,250,0.0,0,0,0.12133258710646636,0
3.607,246.44,250,0.0,0,0,0.1213400644319058,0
3.623,246.44,250,0.0,0,0,0.12134575815176969,0
3.636,246.44,250,0.0,0,0,0.12135074993872648,0
3.643,246.44,250,0.0,0,0,0.12135537106776242,0
3.658,246.44,250,0.0,0,0,0.12135893174338347,0
3.669,246.44,250,0.0,0,0,0.12136284652590758,0
3.681,246.44,250,0.0,0,0,0.12136783075881011,0
3.711,246.44,250,0.0,0,0,0.12137281439757353,0
3.728,246.44,250,0.0,0,0,0.12138206972670562,0
3.745,246.44,250,0.0,0,0,0.12138954569411284,0
3.77,246.44,250,0.0,0,0,0.12139524162077911,0
3.791,246.44,250,0.0,0,0,0.12140451443457609,0
3.812,246.44,250,0.0,0,0,0.12141091916918761,0
3.828,246.44,250,0.0,0,0,0.12141911616683013,0
3.843,246.44,250,0.0,0,0,0.12142337529540068,0
3.857,246.44,250,0.0,0,0,0.12142907419276244,0
3.87,246.44,250,0.0,0,0,0.12143440243220335,0
3.883,246.44,250,0.0,0,0,0.12143938666510588,0
3.907,246.44,250,0.0,0,0,0.12144508751463896,0
3.928,246.44,250,0.0,0,0,0.1214525599172116,0
3.946,246.44,250,0.0,0,0,0.12146039678168302,0
3.967,246.44,250,0.0,0,0,0.12146680024313933,0
3.982,246.44,250,0.0,0,0,0.12147288796210295,0
3.997,246.44,250,0.0,0,0,0.12147890251708038,0
4.014,246.44,250,0.0,0,0,0.12148531353259093,0
4.037,246.44,250,0.0,0,0,0.12149029623770721,0
4.06,246.44,250,0.0,0,0,0.12149883800578123,0
4.074,246.44,250,0.0,0,0,0.12150702677035338,0
4.091,246.44,250,0.0,0,0,0.12151200998473174,0
4.11,246.44,250,0.0,0,0,0.12151841896319396,0
4.129,246.44,250,0.0,0,0,0.121524119558096,0
4.147,246.44,250,0.0,0,0,0.12153124498343475,0
4.165,246.44,250,0.0,0,0,0.12153871017146117,0
4.189,246.44,250,0.0,0,0,0.12154512288451202,0
