time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.456,0.0,1000,0.0,0,0,0,0
2.487,0.0,1000,0.0,0,0,-23.96,0
2.536,0.0,1000,0.0,0,0,-23.96,0
2.553,-193.88,1000,0.0,0,-1190,-23.96,275
2.573,-287.75,1000,0.0,0,-1416,24,249
2.587,-498.51,1000,0.0,0,-1765,24,208
2.599,-619.8,1000,0.0,0,-1177,24,565
2.612,-688.1800000000001,1000,0.0,0,-703,24,505
2.63,-724.57,1000,0.0,0,-300,24,457
2.652,-729.66,1000,0.0,0,156,24,441
2.669,-651.26,1000,0.0,0,819,24,324
2.682,-553.71,1000,0.0,0,1153,24,280
2.694,-457.2,1000,0.0,0,1403,24,250
2.709,-341.54,1000,0.0,0,1607,24,227
2.729,-223.59,1000,0.0,0,1778,24,203
2.746,58.0,1000,0.0,0,2099,24,166
2.756,229.04,1000,0.0,0,2241,-24,151
2.766,424.68,1000,0.0,0,2380,-24,132
2.787,511.16999999999996,1000,0.0,0,1587,-24,621
2.797,607.14,1000,0.0,0,-484,-24,392
2.814,578.14,1000,0.0,0,-840,-24,339
2.822,499.74,1000,0.0,0,-997,-24,320
2.83,447.01,1000,0.0,0,-1111,-24,300
2.842,400.42,1000,0.0,0,-1286,-24,248
2.857,285.64,1000,0.0,0,-1995,-24,183
2.871,102.65,1000,0.0,0,-1932,-24,171
2.889,-42.36,1000,0.0,0,-1987,-24,198
2.905,-211.28,1000,0.0,0,-1882,24,205
2.916,-439.98,1000,0.0,0,-1755,24,198
2.924,-508.18,1000,0.0,0,-284,24,449
2.935,-504.31,1000,0.0,0,320,24,377
2.946,-468.98,1000,0.0,0,1236,24,274
2.958,-348.22,1000,0.0,0,1742,24,221
2.967,-218.14,1000,0.0,0,2323,24,160
2.986,-69.43,1000,0.0,0,2384,24,131
2.996,145.01,1000,0.0,0,2649,24,90
3.008,382.32,1000,0.0,0,2909,-24,61
3.018,581.48,1000,0.0,0,2963,-24,57
