time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.876,0.0,0,0.0,0,0,0,0
2.888,0.0,0,0.0,0,0,24,0
2.892,0.0,0,0.0,0,0,24,0
2.91,32.69,0,0.0,0,1043,24,298
2.924,66.09,0,0.0,0,1412,24,252
2.94,282.65,0,0.0,0,2410,24,134
2.948,593.08,0,0.0,0,2944,24,64
2.955,779.58,0,0.0,0,3104,24,46
2.963,942.89,0,0.0,0,3234,24,39
2.974,1078.41,0,0.0,0,3298,24,33
2.979,1230.46,0,0.0,0,3367,24,27
2.994,1444.74,0,0.0,0,3424,24,19
3.004,1673.96,0,0.0,0,3485,24,12
3.015,1858.71,0,0.0,0,3511,24,9
3.025,2163.51,0,0.0,0,3537,24,6
3.036,2335.6,0,0.0,0,3561,24,4
3.053,2528.08,0,0.0,0,3559,24,4
3.06,2965.95,0,0.0,0,3572,24,3
3.064,3180.41,0,0.0,0,3583,24,5
3.07,3267.24,0,0.0,0,3578,24,2
3.077,3349.33,0,0.0,0,3578,24,5
3.086,3507.01,0,0.0,0,3578,24,3
3.097,3684.72,0,0.0,0,3583,24,3
3.106,3893.02,0,0.0,0,3591,24,4
3.121,4053.86,0,0.0,0,3589,24,3
3.131,4376.42,0,0.0,0,3597,24,0
3.145,4655.03,0,0.0,0,3583,24,1
3.155,4780.89,0,0.0,0,3589,24,4
3.163,5098.71,0,0.0,0,3594,24,1
3.171,5331.44,0,0.0,0,3591,24,3
3.177,5480.5,0,0.0,0,3586,24,1
3.183,5652.77,0,0.0,0,3591,24,1
3.191,5800.6,0,0.0,0,3580,24,0
3.199,5917.32,0,0.0,0,3589,24,1
3.206,6083.61,0,0.0,0,3600,24,2
3.216,6267.12,0,0.0,0,3594,24,2
3.227,6517.96,0,0.0,0,3586,24,0
3.241,6661.58,0,0.0,0,3597,24,0
3.252,6925.95,0,0.0,0,3589,24,2
3.263,7172.92,0,0.0,0,3586,24,1
3.273,7422.89,0,0.0,0,3600,24,0
3.288,7624.33,0,0.0,0,3586,24,0
3.293,7945.31,0,0.0,0,3580,24,1
3.297,8155.72,0,0.0,0,3591,24,1
3.302,8280.0,0,0.0,0,3580,24,0
3.305,8364.72,0,0.0,0,3586,24,2
3.31,8453.84,0,0.0,0,3580,24,1
3.322,8546.13,0,0.0,0,3583,24,3
3.331,8633.32,0,0.0,0,3591,24,0
3.34,8919.31,0,0.0,0,3589,24,3
3.348,9106.17,0,0.0,0,3583,24,3
3.36,9322.73,0,0.0,0,3575,24,3
3.367,9500.62,0,0.0,0,3589,24,3
3.372,9718.76,0,0.0,0,3591,24,0
3.389,9878.02,0,0.0,0,3589,24,0
3.399,9999.31,0,0.0,0,3591,24,4
3.405,10389.72,0,0.0,0,3578,24,4
3.409,10572.01,0,0.0,0,3586,24,4
3.418,10660.95,0,0.0,0,3600,24,0
3.424,10794.9,0,0.0,0,3591,24,1
3.429,10945.19,0,0.0,0,3591,24,3
3.432,11091.97,0,0.0,0,3589,24,4
3.437,11190.23,0,0.0,0,3594,24,1
3.441,11274.78,0,0.0,0,3586,24,4
3.445,11363.55,0,0.0,0,3591,24,0
3.449,11452.5,0,0.0,0,3580,24,3
3.453,11537.75,0,0.0,0,3591,24,0
3.457,11628.28,0,0.0,0,3586,24,4
3.461,11714.58,0,0.0,0,3583,24,0
3.465,11802.48,0,0.0,0,3591,24,4
3.47,11892.48,0,0.0,0,3597,24,1
3.474,11981.07,0,0.0,0,3591,24,3
3.478,12068.08,0,0.0,0,3594,24,0
3.481,12158.08,0,0.0,0,3583,24,3
3.486,12243.86,0,0.0,0,3589,24,1
3.49,12333.86,0,0.0,0,3589,24,3
3.494,12419.29,0,0.0,0,3591,24,1
3.499,12509.64,0,0.0,0,3597,24,2
3.503,12596.13,0,0.0,0,3586,24,0
3.506,12685.07,0,0.0,0,3583,24,2
3.51,12770.85,0,0.0,0,3591,24,0
3.515,12860.68,0,0.0,0,3600,24,2
3.519,12949.27,0,0.0,0,3586,24,1
3.523,13035.05,0,0.0,0,3583,24,1
3.527,13126.28,0,0.0,0,3589,24,1
3.535,13213.12,0,0.0,0,3586,24,0
3.54,13302.24,0,0.0,0,3589,24,0
3.544,13462.55,0,0.0,0,3586,24,3
3.548,13565.91,0,0.0,0,3583,24,0
3.552,13653.63,0,0.0,0,3589,24,1
3.555,13744.16,0,0.0,0,3586,24,0
3.559,13843.3,0,0.0,0,3597,24,0
3.564,13919.94,0,0.0,0,3586,24,0
3.568,14004.31,0,0.0,0,3591,24,3
3.572,14100.99,0,0.0,0,3583,24,0
3.576,14186.42,0,0.0,0,3591,24,2
3.58,14280.11,0,0.0,0,3586,24,0
3.585,14359.04,0,0.0,0,3589,24,2
3.589,14450.62,0,0.0,0,3589,24,0
3.596,14544.14,0,0.0,0,3591,24,2
3.601,14652.07,0,0.0,0,3586,24,0
3.609,14796.73,0,0.0,0,3589,24,0
3.618,14891.66,0,0.0,0,3586,24,4
3.626,15092.05,0,0.0,0,3586,24,2
3.636,15338.14,0,0.0,0,3589,24,0
3.643,15474.72,0,0.0,0,3589,24,0
3.651,15660.17,0,0.0,0,3586,24,0
3.662,15829.98,0,0.0,0,3589,24,1
3.671,16001.19,0,0.0,0,3591,24,1
3.679,16237.96,0,0.0,0,3586,24,0
3.684,16409.7,0,0.0,0,3583,24,0
3.691,16579.86,0,0.0,0,3597,24,1
3.699,16704.31,0,0.0,0,3594,24,2
3.703,16861.99,0,0.0,0,3586,24,4
3.707,17001.73,0,0.0,0,3586,24,1
3.711,17092.61,0,0.0,0,3591,24,0
3.716,17180.85,0,0.0,0,3600,24,1
3.72,17275.6,0,0.0,0,3589,24,0
3.723,17359.1,0,0.0,0,3589,24,2
3.727,17447.16,0,0.0,0,3594,24,1
3.731,17532.59,0,0.0,0,3594,24,1
3.736,17621.71,0,0.0,0,3589,24,0
3.74,17715.76,0,0.0,0,3589,24,0
3.744,17798.73,0,0.0,0,3589,24,0
3.748,17887.5,0,0.0,0,3591,24,0
3.753,17971.52,0,0.0,0,3589,24,2
3.756,18064.33,0,0.0,0,3589,24,1
3.76,18151.17,0,0.0,0,3589,24,1
3.764,18241.87,0,0.0,0,3583,24,0
3.769,18326.42,0,0.0,0,3589,24,2
3.773,18413.61,0,0.0,0,3580,24,0
3.777,18506.42,0,0.0,0,3591,24,2
3.781,18587.98,0,0.0,0,3597,24,0
3.785,18677.46,0,0.0,0,3591,24,4
3.789,18767.98,0,0.0,0,3586,24,0
3.794,18853.24,0,0.0,0,3589,24,3
3.798,18939.19,0,0.0,0,3580,24,0
3.806,19030.07,0,0.0,0,3594,24,4
3.811,19123.24,0,0.0,0,3583,24,0
3.817,19309.21,0,0.0,0,3597,24,0
