time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.385,0.0,1000,0.0,0,0,0,0
2.39,0.0,1000,0.0,0,0,24,0
2.394,0.0,1000,0.0,0,0,24,0
2.398,2.46,1000,0.0,0,142,24,400
2.407,7.38,1000,0.0,0,221,24,392
2.419,14.76,1000,0.0,0,335,24,378
2.429,43.06,1000,0.0,0,597,24,367
2.441,109.51,1000,0.0,0,926,22.766736318626997,310
2.453,166.28,1000,0.0,0,1123,14.69879194394225,285
2.466,288.1,1000,0.0,0,1417,5.12279829790624,250
2.477,374.76,1000,0.0,0,1569,-24,214
2.49,483.75,1000,0.0,0,1542,-8.40850819820638,33
2.5,573.92,1000,0.0,0,1033,-24,547
2.515,637.73,1000,0.0,0,761,-23.96754804643957,320
2.526,676.05,1000,0.0,0,391,-8.135822729914436,468
2.534,689.5799999999999,1000,0.0,0,-41,-4.525271607181454,416
2.544,682.55,1000,0.0,0,-196,3.855511957770622,197
2.553,673.4100000000001,1000,0.0,0,-204,16.584702928590485,91
2.565,664.98,1000,0.0,0,-150,17.31538635543827,117
2.574,665.5,1000,0.0,0,80,16.547809267728276,407
2.578,686.95,1000,0.0,0,440,12.451978316911834,367
2.582,698.02,1000,0.0,0,542,-9.202381097152792,354
2.586,712.96,1000,0.0,0,615,-6.482151228653043,264
2.59,724.74,1000,0.0,0,441,-3.4576947777249707,309
2.603,735.64,1000,0.0,0,450,-3.4763042477292956,227
2.614,746.89,1000,0.0,0,464,7.086984570700343,143
2.626,783.1,1000,0.0,0,305,4.364593358151907,124
2.635,803.84,1000,0.0,0,389,-7.685695199578658,143
2.645,831.62,1000,0.0,0,437,-1.3717400534195825,59
2.662,854.29,1000,0.0,0,261,-6.057552131547389,238
2.673,868.88,1000,0.0,0,199,-1.3552217653018515,56
2.687,879.25,1000,0.0,0,43,-1.457932720237709,163
2.693,878.73,1000,0.0,0,-9,0.08045788155299594,30
2.7,876.62,1000,0.0,0,-32,5.259642494452671,30
2.709,875.03,1000,0.0,0,-41,5.980372874307033,4
2.713,875.56,1000,0.0,0,39,6.58421952998794,130
