time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.328,0.0,180,0.0,0,0,0,0
2.343,0.0,180,0.0,0,0,-24,0
2.357,0.0,180,0.0,0,0,-24,0
2.365,-18.28,180,0.0,0,-308,-24,387
2.377,-49.39,180,0.0,0,-606,-24,352
2.386,-85.25,180,0.0,0,-817,-24,324
2.4,-144.66,180,0.0,0,-1046,-24,297
2.415,-229.04,180,0.0,0,-1272,-24,270
2.432,-343.47,180,0.0,0,-1526,-24,236
2.442,-549.84,180,0.0,0,-1832,-24,200
2.451,-651.62,180,0.0,0,-1943,-24,186
2.458,-762.89,180,0.0,0,-2059,-24,175
2.467,-881.89,180,0.0,0,-2163,-24,159
2.482,-978.04,180,0.0,0,-2249,-24,152
2.498,-1150.83,180,0.0,0,-2367,-24,137
2.504,-1338.57,180,0.0,0,-2482,-24,124
2.508,-1540.01,180,0.0,0,-2585,-24,110
2.512,-1624.74,180,0.0,0,-2628,-24,104
2.52,-1691.8899999999999,180,0.0,0,-2660,-24,103
2.537,-1764.1399999999999,180,0.0,0,-2689,-24,97
2.55,-1989.84,180,0.0,0,-2775,-24,87
2.559,-2239.45,180,0.0,0,-2858,-24,78
2.569,-2430.17,180,0.0,0,-2915,-24,71
2.587,-2611.93,180,0.0,0,-2961,-24,65
2.596,-2799.49,180,0.0,0,-3012,-24,59
2.611,-3071.07,180,0.0,0,-3065,-24,53
2.618,-3276.21,180,0.0,0,-3110,-24,52
2.622,-3530.56,180,0.0,0,-3154,-24,45
2.626,-3642.89,180,0.0,0,-3171,-24,46
2.63,-3715.83,180,0.0,0,-3175,-24,43
2.634,-3796.34,180,0.0,0,-3197,-24,43
2.639,-3872.46,180,0.0,0,-3206,-24,42
2.643,-3948.75,180,0.0,0,-3217,-24,40
2.647,-4026.79,180,0.0,0,-3226,-24,42
2.651,-4111.87,180,0.0,0,-3232,-24,39
2.655,-4185.7,180,0.0,0,-3248,-24,41
2.659,-4265.15,180,0.0,0,-3259,-24,37
2.668,-4348.3,180,0.0,0,-3262,-24,39
2.684,-4430.03,180,0.0,0,-3280,-24,35
2.692,-4696.87,180,0.0,0,-3308,-24,34
2.696,-4960.01,180,0.0,0,-3333,-24,30
2.708,-5088.86,180,0.0,0,-3348,-24,32
2.714,-5162.51,180,0.0,0,-3353,-24,27
2.721,-5412.83,180,0.0,0,-3377,-24,26
2.727,-5540.44,180,0.0,0,-3391,-24,24
2.733,-5669.47,180,0.0,0,-3399,-24,24
2.741,-5806.93,180,0.0,0,-3404,-24,25
2.745,-5971.99,180,0.0,0,-3424,-24,24
2.751,-6079.92,180,0.0,0,-3424,-24,20
2.762,-6159.9,180,0.0,0,-3431,-24,22
2.771,-6366.26,180,0.0,0,-3446,-24,22
2.778,-6578.78,180,0.0,0,-3456,-24,17
2.782,-6721.69,180,0.0,0,-3456,-24,19
