time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.45,0.0,250,0.0,0,0,0,0
2.456,0.0,250,0.0,0,0,2.5,0
2.46,0.0,250,0.0,0,0,2.5,0
2.468,0.17,250,0.0,0,0,2.5,55
2.476,0.7000000000000001,250,0.0,0,0,2.4983,53
2.489,3.33,250,0.0,0,53,2.4930000000000003,49
2.51,7.38,250,0.0,0,88,2.4137,45
2.531,24.6,250,0.0,0,155,2.3382,38
2.555,44.82,250,0.0,0,197,2.099,31
2.575,86.13,250,0.0,0,252,1.8548,24
2.598,113.55,250,0.0,0,270,1.3867,14
2.616,148.35,250,0.0,0,283,1.0944999999999998,8
2.636,182.46,250,0.0,0,284,0.7335000000000002,1
2.659,212.34,250,0.0,0,280,0.39139999999999986,2
2.68,250.13,250,0.0,0,268,0.09659999999999996,6
2.696,284.41,250,0.0,0,251,-0.2693,9
2.731,309.72,250,0.0,0,228,-0.5951000000000002,17
2.749,345.76,250,0.0,0,166,-0.8252000000000003,24
2.764,365.27,250,0.0,0,115,-1.1236,26
2.788,373.71,250,0.0,0,83,-1.2676999999999998,28
2.805,380.56,250,0.0,0,36,-1.3200999999999998,29
2.821,381.44,250,0.0,0,-6,-1.3416000000000001,27
2.844,378.45,250,0.0,0,-40,-1.3084,24
2.852,370.01,250,0.0,0,-77,-1.2445,21
2.87,365.62,250,0.0,0,-88,-1.1231,21
2.887,358.24,250,0.0,0,-103,-1.0682,16
2.908,345.23,250,0.0,0,-119,-0.9794,11
2.928,329.94,250,0.0,0,-132,-0.8333000000000002,9
2.95,313.24,250,0.0,0,-140,-0.6674,6
2.966,296.01,250,0.0,0,-143,-0.49240000000000006,3
2.979,280.72,250,0.0,0,-143,-0.3170999999999999,0
2.988,264.37,250,0.0,0,-140,-0.1642000000000003,1
2.996,259.27,250,0.0,0,-138,-0.0037000000000000366,3
3.009,252.42,250,0.0,0,-134,0.04530000000000019,4
3.028,244.68,250,0.0,0,-126,0.10980000000000013,9
3.044,232.03,250,0.0,0,-108,0.17919999999999994,11
3.059,222.36,250,0.0,0,-94,0.2877,10
3.075,212.34,250,0.0,0,-79,0.37039999999999984,8
3.087,206.54,250,0.0,0,-66,0.4556,11
3.099,201.62,250,0.0,0,-51,0.5006000000000002,12
3.114,199.16,250,0.0,0,-39,0.5347999999999999,13
3.123,195.99,250,0.0,0,-23,0.5474000000000001,11
3.131,195.46,250,0.0,0,-17,0.5630999999999999,12
3.139,195.11,250,0.0,0,-9,0.5623999999999999,11
