time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.439,0.0,0,0.0,0,0,0,0
2.444,0.0,0,0.0,0,0,0,0
2.448,0.0,0,0.0,0,0,0,0
2.452,-2.63,0,0.0,0,-126,0,408
2.456,-7.55,0,0.0,0,-251,0,394
2.46,-15.11,0,0.0,0,-362,0,381
2.466,-26.19,0,0.0,0,-478,0,368
2.473,-39.19,0,0.0,0,-590,0,382
2.483,-62.75,0,0.0,0,-740,0,369
2.49,-111.44,0,0.0,0,-952,0,312
2.499,-169.98,0,0.0,0,-1153,0,287
2.508,-214.27,0,0.0,0,-1265,0,273
2.518,-280.72,0,0.0,0,-1420,0,272
2.528,-399.37,0,0.0,0,-1637,0,239
2.538,-468.1,0,0.0,0,-1754,0,215
2.545,-606.44,0,0.0,0,-1926,0,195
2.553,-692.75,0,0.0,0,-2011,0,184
2.561,-790.48,0,0.0,0,-2116,0,171
2.568,-880.31,0,0.0,0,-2203,0,168
2.575,-991.5799999999999,0,0.0,0,-2289,0,149
2.583,-1085.62,0,0.0,0,-2357,0,141
2.589,-1220.97,0,0.0,0,-2454,0,137
2.599,-1301.13,0,0.0,0,-2501,0,128
2.609,-1425.93,0,0.0,0,-2558,0,119
2.62,-1620.7,0,0.0,0,-2669,0,110
2.625,-1724.58,0,0.0,0,-2704,0,100
2.635,-1881.73,0,0.0,0,-2768,0,95
2.643,-1964.7,0,0.0,0,-2800,0,90
2.65,-2168.43,0,0.0,0,-2863,0,79
2.663,-2269.51,0,0.0,0,-2906,0,76
2.676,-2454.25,0,0.0,0,-2942,0,70
2.694,-2626.17,0,0.0,0,-3000,0,64
2.703,-3001.46,0,0.0,0,-3089,0,59
2.714,-3252.12,0,0.0,0,-3129,0,49
2.727,-3365.5,0,0.0,0,-3154,0,49
2.735,-3638.67,0,0.0,0,-3195,0,44
2.739,-3869.29,0,0.0,0,-3223,0,42
2.743,-3974.58,0,0.0,0,-3241,0,42
2.747,-4052.1,0,0.0,0,-3268,0,41
2.751,-4132.08,0,0.0,0,-3275,0,41
2.768,-4210.13,0,0.0,0,-3268,0,40
2.776,-4289.41,0,0.0,0,-3282,0,41
2.784,-4653.45,0,0.0,0,-3324,0,37
2.79,-4800.05,0,0.0,0,-3353,0,34
2.803,-4954.57,0,0.0,0,-3353,0,30
2.811,-5133.51,0,0.0,0,-3372,0,28
2.818,-5360.44,0,0.0,0,-3386,0,30
2.826,-5520.05,0,0.0,0,-3419,0,26
2.834,-5657.16,0,0.0,0,-3424,0,24
2.841,-5816.6,0,0.0,0,-3434,0,22
2.845,-5974.98,0,0.0,0,-3449,0,19
2.849,-6111.38,0,0.0,0,-3459,0,21
