time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,x_real,"x_est_0, x_est_1, x_est_2",u
3.136,0.0,0,0.0,0,0,0,0,,,
3.15,0.0,0,0.0,0,0,0.0,0,,,
3.17,0.0,0,0.0,0,0,0.0,0,,,
3.188,0.0,0,0.0,0,0,0.0,0,,,
3.204,0.0,0,0.0,0,0,0.0,0,,,
3.222,0.0,0,0.0,0,0,0.0,0,,,
3.236,0.0,0,0.0,0,0,0.0,0,,,
3.257,0.0,0,0.0,0,0,0.0,0,,,
3.27,0.0,0,0.0,0,0,0.0,0,,,
3.279,0.0,0,0.0,0,0,0.0,0,,,
3.295,0.0,0,0.0,0,0,0.0,0,,,
3.304,0.0,0,0.0,0,0,0.0,0,,,
3.314,0.0,0,0.0,0,0,0.0,0,,,
3.324,0.0,0,0.0,0,0,0.0,0,,,
3.339,0.0,0,0.0,0,0,0.0,0,,,
3.353,0.0,0,0.0,0,0,0.0,0,,,
3.361,0.0,0,0.0,0,0,0.0,0,,,
3.372,0.0,0,0.0,0,0,0.0,0,,,
3.39,0.0,0,0.0,0,0,0.0,0,,,
3.403,0.0,0,0.0,0,0,0.0,0,,,
3.419,0.0,0,0.0,0,0,0.0,0,,,
3.432,0.0,0,0.0,0,0,0.0,0,,,
3.443,0.0,0,0.0,0,0,0.0,0,,,
3.455,0.0,0,0.0,0,0,0.0,0,,,
3.465,0.0,0,0.0,0,0,0.0,0,,,
3.479,0.0,0,0.0,0,0,0.0,0,,,
3.49,0.0,0,0.0,0,0,0.0,0,,,
3.505,0.0,0,0.0,0,0,0.0,0,,,
3.514,0.0,0,0.0,0,0,0.0,0,,,
3.526,0.0,0,0.0,0,0,0.0,0,,,
3.538,0.0,0,0.0,0,0,0.0,0,,,
3.553,0.0,0,0.0,0,0,0.0,0,,,
3.57,0.0,0,0.0,0,0,0.0,0,,,
3.58,0.0,0,0.0,0,0,0.0,0,,,
3.588,0.0,0,0.0,0,0,0.0,0,,,
3.6,0.0,0,0.0,0,0,0.0,0,,,
3.614,0.0,0,0.0,0,0,0.0,0,,,
3.625,0.0,0,0.0,0,0,0.0,0,,,
3.632,0.0,0,0.0,0,0,0.0,0,,,
3.641,0.0,0,0.0,0,0,0.0,0,,,
