time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.626,0.0,0,0.0,0,0,0,0
2.631,0.0,0,0.0,0,0,8,0
2.639,0.0,0,0.0,0,0,8,0
2.643,0.52,0,0.0,0,0,8,122
2.661,4.21,0,0.0,0,96,8,113
2.669,7.38,0,0.0,0,135,8,109
2.676,31.99,0,0.0,0,268,8,92
2.687,44.47,0,0.0,0,314,8,88
2.699,60.11,0,0.0,0,361,8,82
2.709,81.73,0,0.0,0,415,8,74
2.722,129.02,0,0.0,0,497,8,65
2.729,162.94,0,0.0,0,543,8,60
2.734,194.58,0,0.0,0,582,8,54
2.745,212.69,0,0.0,0,601,8,52
2.761,238.53,0,0.0,0,626,8,50
2.776,286.17,0,0.0,0,666,8,44
2.783,347.34,0,0.0,0,706,8,40
2.787,409.57,0,0.0,0,743,8,35
2.792,428.73,0,0.0,0,752,8,33
2.801,448.94,0,0.0,0,761,8,32
2.81,482.51,0,0.0,0,779,8,31
2.816,514.33,0,0.0,0,794,8,30
2.824,561.79,0,0.0,0,813,8,26
2.834,596.95,0,0.0,0,825,8,26
2.848,632.98,0,0.0,0,837,8,23
2.856,712.44,0,0.0,0,861,8,22
2.862,754.1,0,0.0,0,871,8,21
2.876,791.01,0,0.0,0,879,8,20
2.885,826.52,0,0.0,0,890,8,20
2.895,909.31,0,0.0,0,910,8,18
2.901,959.06,0,0.0,0,920,8,17
2.906,1012.14,0,0.0,0,934,8,17
2.917,1041.85,0,0.0,0,938,8,17
2.925,1087.91,0,0.0,0,946,8,16
2.933,1130.44,0,0.0,0,955,8,15
2.945,1182.65,0,0.0,0,964,8,15
2.962,1238.9,0,0.0,0,970,8,15
2.974,1346.66,0,0.0,0,991,8,13
2.989,1405.8899999999999,0,0.0,0,995,8,13
2.997,1477.61,0,0.0,0,1005,8,12
3.005,1572.71,0,0.0,0,1017,8,11
3.013,1617.53,0,0.0,0,1024,8,10
3.021,1652.87,0,0.0,0,1028,8,9
3.029,1704.72,0,0.0,0,1033,8,8
3.042,1752.71,0,0.0,0,1037,8,9
3.05,1807.55,0,0.0,0,1040,8,8
3.059,1887.01,0,0.0,0,1044,8,7
3.067,1939.92,0,0.0,0,1049,8,8
3.077,2002.5,0,0.0,0,1054,8,6
3.087,2052.24,0,0.0,0,1061,8,5
3.095,2128.5299999999997,0,0.0,0,1063,8,7
3.104,2179.86,0,0.0,0,1063,8,5
3.113,2227.14,0,0.0,0,1067,8,5
3.119,2292.71,0,0.0,0,1070,8,6
3.128,2341.4,0,0.0,0,1071,8,5
3.14,2378.84,0,0.0,0,1076,8,4
3.15,2440.54,0,0.0,0,1076,8,4
3.16,2535.11,0,0.0,0,1078,8,4
3.17,2590.31,0,0.0,0,1080,8,3
3.18,2646.03,0,0.0,0,1085,8,4
3.19,2724.08,0,0.0,0,1085,8,3
3.2,2778.92,0,0.0,0,1088,8,2
3.211,2841.32,0,0.0,0,1086,8,4
3.218,2926.75,0,0.0,0,1090,8,3
3.231,2973.86,0,0.0,0,1092,8,2
3.239,3032.57,0,0.0,0,1093,8,3
3.246,3114.49,0,0.0,0,1093,8,2
3.254,3160.89,0,0.0,0,1095,8,2
