time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.63,0.0,0,0.0,0,0,0,0
2.638,0.0,0,0.0,0,0,0,0
2.646,0.0,0,0.0,0,0,0,0
2.653,-10.19,0,0.0,0,-283,0,395
2.66,-27.24,0,0.0,0,-455,0,404
2.668,-46.4,0,0.0,0,-591,0,358
2.673,-81.03,0,0.0,0,-790,0,332
2.685,-114.96,0,0.0,0,-950,0,313
2.694,-141.85,0,0.0,0,-1042,0,301
2.706,-229.74,0,0.0,0,-1285,0,270
2.713,-352.61,0,0.0,0,-1549,0,237
2.723,-415.37,0,0.0,0,-1655,0,225
2.732,-524.0,0,0.0,0,-1811,0,206
2.745,-593.61,0,0.0,0,-1899,0,194
2.756,-775.37,0,0.0,0,-2094,0,170
2.764,-924.4300000000001,0,0.0,0,-2217,0,155
2.772,-1045.01,0,0.0,0,-2322,0,146
2.779,-1142.75,0,0.0,0,-2384,0,135
2.786,-1247.69,0,0.0,0,-2442,0,128
2.791,-1338.04,0,0.0,0,-2497,0,121
2.805,-1447.2,0,0.0,0,-2565,0,113
2.811,-1548.63,0,0.0,0,-2609,0,111
2.819,-1758.33,0,0.0,0,-2706,0,99
2.83,-1857.83,0,0.0,0,-2741,0,92
2.836,-2038.53,0,0.0,0,-2805,0,83
2.844,-2177.4,0,0.0,0,-2854,0,77
2.861,-2266.87,0,0.0,0,-2870,0,79
2.87,-2509.8,0,0.0,0,-2944,0,65
2.878,-2746.75,0,0.0,0,-2999,0,60
2.888,-2897.57,0,0.0,0,-3039,0,54
2.893,-3084.78,0,0.0,0,-3075,0,51
2.906,-3226.11,0,0.0,0,-3098,0,49
2.913,-3326.66,0,0.0,0,-3116,0,48
2.921,-3576.26,0,0.0,0,-3156,0,45
2.93,-3678.22,0,0.0,0,-3175,0,43
2.941,-3887.75,0,0.0,0,-3199,0,43
2.951,-4029.08,0,0.0,0,-3219,0,39
2.958,-4265.85,0,0.0,0,-3255,0,40
2.967,-4400.33,0,0.0,0,-3273,0,35
2.977,-4572.59,0,0.0,0,-3291,0,33
2.984,-4761.91,0,0.0,0,-3305,0,32
2.997,-4927.85,0,0.0,0,-3329,0,29
3.005,-5191.17,0,0.0,0,-3355,0,28
3.016,-5349.37,0,0.0,0,-3372,0,29
3.026,-5554.68,0,0.0,0,-3386,0,24
3.034,-5736.79,0,0.0,0,-3396,0,23
3.043,-5922.94,0,0.0,0,-3414,0,21
3.05,-6112.44,0,0.0,0,-3429,0,18
3.058,-6270.29,0,0.0,0,-3429,0,20
3.064,-6415.48,0,0.0,0,-3444,0,20
3.069,-6558.39,0,0.0,0,-3451,0,16
3.08,-6710.62,0,0.0,0,-3459,0,16
